# VFX v1 -> v2 API coverage map. One line per v1 endpoint.
#   STATUS  VERB  /route   # Controller.Action
# STATUS: covered | gap | omit | oos   (see tools/api_drift.py header)
# Regenerate with: python3 tools/api_drift.py genmap
# The drift gate (`check`) fails if any live v1 endpoint is missing here.

covered POST   /dstapi/dstv1/savelisting                                    # DSTV1Controller.SaveListing
covered POST   /dstapi/dstv1/sendbid                                        # DSTV1Controller.SendBid
covered POST   /dstapi/dstv1/sendbuynowbid                                  # DSTV1Controller.SendBuyNowBid
covered POST   /dstapi/dstv1/sendchatmessage                                # DSTV1Controller.SendChatMessage
covered POST   /dstapi/dstv1/sendchatmessagethirdparty                      # DSTV1Controller.SendChatMessageThirdParty
covered POST   /dstapi/dstv1/sendshopchatmessage                            # DSTV1Controller.SendShopChatMessage
gap     GET    /explorer                                                     # ExplorerController.Index
gap     GET    /explorer/api/address/{address}                               # ExplorerController.GetAddress
gap     GET    /explorer/api/block/hash/{hash}                               # ExplorerController.GetBlockByHash
gap     GET    /explorer/api/block/{height}                                  # ExplorerController.GetBlock
gap     GET    /explorer/api/blocks                                          # ExplorerController.GetBlocks
gap     GET    /explorer/api/mempool                                         # ExplorerController.GetMempoolTransactions
gap     GET    /explorer/api/search                                          # ExplorerController.Search
gap     GET    /explorer/api/stats                                           # ExplorerController.GetStats
gap     GET    /explorer/api/stream                                          # ExplorerController.Stream
gap     GET    /explorer/api/tx/{hash}                                       # ExplorerController.GetTransaction
oos     GET    /iapi/integrationsv1/height                                   # IntegrationsV1Controller.Height
oos     GET    /iapi/integrationsv1/lastblock                                # IntegrationsV1Controller.LastBlock
oos     GET    /iapi/integrationsv1/network                                  # IntegrationsV1Controller.Network
covered POST   /privacyapi/privacyv1/consolidateshieldedvbtc                 # PrivacyV1Controller.ConsolidateShieldedVBTC
covered POST   /privacyapi/privacyv1/consolidateshieldedvfx                  # PrivacyV1Controller.ConsolidateShieldedVFX
covered POST   /privacyapi/privacyv1/createshieldedaddressfromaccount        # PrivacyV1Controller.CreateShieldedAddressFromAccount
covered POST   /privacyapi/privacyv1/exportviewingkey                        # PrivacyV1Controller.ExportViewingKey
covered POST   /privacyapi/privacyv1/generateshieldedaddress                 # PrivacyV1Controller.GenerateShieldedAddress
covered GET    /privacyapi/privacyv1/getplonkstatus                          # PrivacyV1Controller.GetPlonkStatus
covered GET    /privacyapi/privacyv1/getshieldedbalance                      # PrivacyV1Controller.GetShieldedBalance
covered GET    /privacyapi/privacyv1/getshieldedpoolstate                    # PrivacyV1Controller.GetShieldedPoolState
covered GET    /privacyapi/privacyv1/getshieldedvbtcbalance                  # PrivacyV1Controller.GetShieldedVbtcBalance
covered GET    /privacyapi/privacyv1/getvbtcshieldedpoolstate                # PrivacyV1Controller.GetVbtcShieldedPoolState
covered POST   /privacyapi/privacyv1/importviewingkey                        # PrivacyV1Controller.ImportViewingKey
covered POST   /privacyapi/privacyv1/privatetransfervbtc                     # PrivacyV1Controller.PrivateTransferVBTC
covered POST   /privacyapi/privacyv1/privatetransfervfx                      # PrivacyV1Controller.PrivateTransferVFX
covered POST   /privacyapi/privacyv1/resyncshieldedvbtc                      # PrivacyV1Controller.ResyncShieldedVBTC
covered POST   /privacyapi/privacyv1/resyncshieldedwallet                    # PrivacyV1Controller.ResyncShieldedWallet
covered POST   /privacyapi/privacyv1/scanshielded                            # PrivacyV1Controller.ScanShielded
covered POST   /privacyapi/privacyv1/scanshieldedvbtc                        # PrivacyV1Controller.ScanShieldedVBTC
covered POST   /privacyapi/privacyv1/shieldvbtc                              # PrivacyV1Controller.ShieldVBTC
covered POST   /privacyapi/privacyv1/shieldvfx                               # PrivacyV1Controller.ShieldVFX
covered POST   /privacyapi/privacyv1/unshieldvbtc                            # PrivacyV1Controller.UnshieldVBTC
covered POST   /privacyapi/privacyv1/unshieldvfx                             # PrivacyV1Controller.UnshieldVFX
omit    GET    /rsapi/rsv1/callbackreserveaccounttx/{hash}/{**password}      # RSV1Controller.CallBackReserveAccountTx
omit    GET    /rsapi/rsv1/decoderestorecode/{restorecodebase}               # RSV1Controller.DecodeRestoreCode
omit    GET    /rsapi/rsv1/getallreserveaccounts                             # RSV1Controller.GetAllReserveAccounts
omit    GET    /rsapi/rsv1/getreserveaccountinfo/{address}                   # RSV1Controller.GetReserveAccountInfo
omit    GET    /rsapi/rsv1/getreserveaccountnftassets/{scuid}/{address}/{**password} # RSV1Controller.GetReserveAccountNFTAssets
omit    GET    /rsapi/rsv1/getreservetransactions                            # RSV1Controller.GetReserveTransactions
omit    POST   /rsapi/rsv1/newreserveaddress                                 # RSV1Controller.NewReserveAddress
omit    GET    /rsapi/rsv1/publishreserveaccount/{address}/{**password}      # RSV1Controller.PublishReserveAccount
omit    GET    /rsapi/rsv1/recoverreserveaccounttx/{recoveryphrase}/{address}/{**password} # RSV1Controller.RecoverReserveAccountTx
covered POST   /rsapi/rsv1/reservetransfernft                               # RSV1Controller.ReserveTransferNFT
omit    POST   /rsapi/rsv1/restorereserveaddress                             # RSV1Controller.RestoreReserveAddress
omit    POST   /rsapi/rsv1/sendreservetransaction                            # RSV1Controller.SendReserveTransaction
omit    GET    /rsapi/rsv1/unlockreserveaccount/{address}/{unlocktime}/{**password} # RSV1Controller.UnlockReserveAccount
omit    GET    /scapi/scv1                                                   # SCV1Controller.Get
omit    GET    /scapi/scv1/addnftdatafromnetwork/{scuid}                     # SCV1Controller.AddNFTDataFromNetwork
omit    GET    /scapi/scv1/associatenftasset/{scuid}/{**assetpath}           # SCV1Controller.AssociateNFTAsset
omit    GET    /scapi/scv1/burn/{id}                                         # SCV1Controller.Burn
covered GET    /scapi/scv1/burnbypass/{scuid}                               # SCV1Controller.BurnBypass
omit    GET    /scapi/scv1/callmediafrombeacon/{scuid}                       # SCV1Controller.CallMediaFromBeacon
covered GET    /scapi/scv1/cancelsale/{scuid}                               # SCV1Controller.CancelSale
omit    GET    /scapi/scv1/changenftpublicstate/{id}                         # SCV1Controller.ChangeNFTPublicState
omit    GET    /scapi/scv1/completetransfersale/{keysign}/{**scuid}          # SCV1Controller.CompleteTransferSale
omit    POST   /scapi/scv1/createsmartcontract                               # SCV1Controller.CreateSmartContract
omit    GET    /scapi/scv1/createthumbnails/{scuid}                          # SCV1Controller.CreateThumbnails
omit    GET    /scapi/scv1/devolve/{id}/{toaddress}                          # SCV1Controller.Devolve
omit    GET    /scapi/scv1/evolve/{id}/{toaddress}                           # SCV1Controller.Evolve
omit    GET    /scapi/scv1/evolvespecific/{id}/{toaddress}/{evolvestate}     # SCV1Controller.EvolveSpecific
omit    GET    /scapi/scv1/getallsmartcontracts/{pagenumber}                 # SCV1Controller.GetAllSmartContracts
omit    GET    /scapi/scv1/getallsmartcontracts/{pagenumber}/{**search}      # SCV1Controller.GetAllSmartContracts
omit    GET    /scapi/scv1/getallsmartcontracts/{pagenumber}/{excludetoken?} # SCV1Controller.GetAllSmartContracts
omit    GET    /scapi/scv1/getallsmartcontracts/{pagenumber}/{excludetoken?}/{tokensonly?} # SCV1Controller.GetAllSmartContracts
omit    GET    /scapi/scv1/getallsmartcontracts/{pagenumber}/{excludetoken?}/{tokensonly?}/{**search} # SCV1Controller.GetAllSmartContracts
omit    GET    /scapi/scv1/getcurrentscowner/{scuid}                         # SCV1Controller.GetCurrentSCOwner
omit    GET    /scapi/scv1/getlastknownlocators/{scuid}                      # SCV1Controller.GetLastKnownLocators
omit    GET    /scapi/scv1/getmintedsmartcontracts/{pagenumber}              # SCV1Controller.GetMintedSmartContracts
omit    GET    /scapi/scv1/getmintedsmartcontracts/{pagenumber}/{**search}   # SCV1Controller.GetMintedSmartContracts
omit    GET    /scapi/scv1/getnftassetlocation/{scuid}/{**filename}          # SCV1Controller.GetNFTAssetLocation
omit    GET    /scapi/scv1/getsinglesmartcontract/{id}                       # SCV1Controller.GetSingleSmartContract
omit    GET    /scapi/scv1/getsmartcontractdata/{id}                         # SCV1Controller.GetSmartContractData
omit    GET    /scapi/scv1/getsmartcontractsbyaddress/{address}              # SCV1Controller.GetSmartContractsByAddress
omit    GET    /scapi/scv1/getsmartcontractsstate/{**scuid}                  # SCV1Controller.GetSmartContractsState
omit    GET    /scapi/scv1/mintsmartcontract/{id}                            # SCV1Controller.MintSmartContract
